,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),Occupation,EmploymentStatus,IsBorrowerHomeowner,Duration,months,Rating
36977,1641,2006-03-09 19:03:25.180,C,36,Chargedoff,2009-05-23 00:00:00.000,,,0,,,False,1170.0,39.0,C
63678,1671,2006-03-10 07:03:10.640,E,36,Defaulted,2007-05-15 00:00:00.000,,,0,,,False,430.0,14.0,E
90179,1692,2006-03-10 11:09:49.623,E,36,Defaulted,2007-06-18 00:00:00.000,,,0,,,False,464.0,15.0,E
91773,1693,2006-03-10 11:18:09.010,C,36,Chargedoff,2008-09-18 00:00:00.000,,,0,,,False,922.0,31.0,C
63719,1728,2006-03-10 17:21:28.043,E,36,Defaulted,2006-10-22 00:00:00.000,,,0,,,False,225.0,8.0,E
72679,1729,2006-03-10 17:23:58.307,HR,36,Defaulted,2006-12-13 00:00:00.000,,,0,,,False,277.0,9.0,HR
97188,1743,2006-03-10 20:52:57.990,HR,36,Defaulted,2006-10-15 00:00:00.000,,,0,,,False,218.0,7.0,HR
78456,1791,2006-03-11 14:31:16.450,HR,36,Defaulted,2007-02-14 00:00:00.000,,,0,,,False,339.0,11.0,HR
50940,1792,2006-03-11 15:18:37.443,HR,36,Defaulted,2007-07-20 00:00:00.000,,,0,,,False,495.0,16.0,HR
18097,1795,2006-03-11 15:43:45.393,HR,36,Defaulted,2007-01-14 00:00:00.000,,,0,,,False,308.0,10.0,HR
93686,1798,2006-03-11 16:00:10.990,HR,36,Defaulted,2006-09-15 00:00:00.000,,,0,,,False,187.0,6.0,HR
21913,1849,2006-03-12 13:44:15.060,HR,36,Chargedoff,2009-02-15 00:00:00.000,,,0,,,False,1070.0,36.0,HR
61223,1911,2006-03-13 11:18:48.450,D,36,Chargedoff,2009-04-18 00:00:00.000,,,0,,,False,1131.0,38.0,D
63386,1962,2006-03-14 06:50:23.310,A,36,Defaulted,2007-03-24 00:00:00.000,,,0,,,False,374.0,12.0,A
31313,1977,2006-03-14 08:50:37.483,E,36,Defaulted,2007-01-20 00:00:00.000,,,0,,,False,311.0,10.0,E
77059,1991,2006-03-14 11:05:18.673,NC,36,Defaulted,2006-10-20 00:00:00.000,,,0,,,False,219.0,7.0,NC
49311,2016,2006-03-14 16:22:41.703,C,36,Defaulted,2007-07-26 00:00:00.000,,,0,,,False,498.0,17.0,C
15787,2049,2006-03-15 07:10:07.717,HR,36,Defaulted,2007-06-22 00:00:00.000,,,0,,,False,463.0,15.0,HR
108668,2084,2006-03-15 11:58:36.967,HR,36,Defaulted,2006-10-22 00:00:00.000,,,0,,,False,220.0,7.0,HR
96013,2162,2006-03-16 07:19:13.180,NC,36,Defaulted,2006-09-19 00:00:00.000,,,0,,,False,186.0,6.0,NC
50178,2205,2006-03-16 14:28:43.343,C,36,Defaulted,2006-11-19 00:00:00.000,,,0,,,False,247.0,8.0,C
4214,2208,2006-03-16 15:31:00.797,B,36,Defaulted,2007-11-19 00:00:00.000,,,0,,,False,612.0,20.0,B
55970,2231,2006-03-16 19:30:16.753,HR,36,Defaulted,2006-09-19 00:00:00.000,,,0,,,False,186.0,6.0,HR
103046,2294,2006-03-17 12:50:46.497,HR,36,Defaulted,2006-10-27 00:00:00.000,,,0,,,False,223.0,7.0,HR
13975,2372,2006-03-18 12:52:18.843,HR,36,Chargedoff,2008-07-23 00:00:00.000,,,0,,,False,857.0,29.0,HR
104137,2400,2006-03-18 22:16:47.333,HR,36,Defaulted,2006-10-22 00:00:00.000,,,0,,,False,217.0,7.0,HR
54766,2496,2006-03-20 08:11:35.017,C,36,Chargedoff,2008-08-23 00:00:00.000,,,0,,,False,886.0,30.0,C
17938,2523,2006-03-20 12:29:11.053,NC,36,Defaulted,2007-01-27 00:00:00.000,,,0,,,False,312.0,10.0,NC
44679,2534,2006-03-20 13:57:43.047,HR,36,Defaulted,2007-09-21 00:00:00.000,,,0,,,False,549.0,18.0,HR
100211,2656,2006-03-20 23:56:49.977,HR,36,Defaulted,2006-11-22 00:00:00.000,,,0,,,False,246.0,8.0,HR
43826,2668,2006-03-21 01:00:45.873,E,36,Chargedoff,2008-08-22 00:00:00.000,,,0,,,False,884.0,29.0,E
93421,2751,2006-03-21 10:31:54.723,HR,36,Defaulted,2006-12-02 00:00:00.000,,,0,,,False,255.0,8.0,HR
99348,2792,2006-03-21 13:03:36.793,E,36,Defaulted,2007-05-24 00:00:00.000,,,0,,,False,428.0,14.0,E
21493,2805,2006-03-21 13:47:11.387,HR,36,Defaulted,2006-10-27 00:00:00.000,,,0,,,False,219.0,7.0,HR
58306,2921,2006-03-22 04:30:04.943,B,36,Chargedoff,2008-12-25 00:00:00.000,,,0,,,False,1008.0,34.0,B
86695,2926,2006-03-22 05:59:22.673,HR,36,Chargedoff,2009-07-28 00:00:00.000,,,0,,,False,1223.0,41.0,HR
56560,2942,2006-03-22 07:37:24.487,HR,36,Chargedoff,2008-06-04 00:00:00.000,,,0,,,False,804.0,27.0,HR
98018,2983,2006-03-22 11:08:33.997,B,36,Defaulted,2006-12-05 00:00:00.000,,,0,,,False,257.0,9.0,B
57584,3018,2006-03-22 13:21:40.380,E,36,Defaulted,2007-10-29 00:00:00.000,,,0,,,False,585.0,20.0,E
44981,3021,2006-03-22 13:44:20.660,D,36,Defaulted,2006-10-26 00:00:00.000,,,0,,,False,217.0,7.0,D
9661,3063,2006-03-22 17:07:20.597,NC,36,Defaulted,2006-09-26 00:00:00.000,,,0,,,False,187.0,6.0,NC
57491,3144,2006-03-23 09:34:33.587,HR,36,Defaulted,2007-02-01 00:00:00.000,,,0,,,False,314.0,10.0,HR
26190,3151,2006-03-23 10:29:16.730,HR,36,Defaulted,2006-10-03 00:00:00.000,,,0,,,False,193.0,6.0,HR
58672,3196,2006-03-23 14:09:46.327,HR,36,Defaulted,2006-10-29 00:00:00.000,,,0,,,False,219.0,7.0,HR
51852,3235,2006-03-23 17:43:14.053,E,36,Defaulted,2007-01-29 00:00:00.000,,,0,,,False,311.0,10.0,E
14705,3322,2006-03-24 09:22:12.667,B,36,Defaulted,2006-11-08 00:00:00.000,,,0,,,False,228.0,8.0,B
45759,3355,2006-03-24 13:13:08.020,HR,36,Chargedoff,2008-09-02 00:00:00.000,,,0,,,False,892.0,30.0,HR
85990,3363,2006-03-24 13:31:19.147,B,36,Defaulted,2007-01-27 00:00:00.000,,,0,,,False,308.0,10.0,B
70485,3372,2006-03-24 14:11:14.850,E,36,Chargedoff,2009-05-04 00:00:00.000,,,0,,,False,1136.0,38.0,E
15259,3392,2006-03-24 18:17:03.647,HR,36,Defaulted,2007-02-27 00:00:00.000,,,0,,,False,339.0,11.0,HR
22824,3474,2006-03-25 08:43:35.337,E,36,Defaulted,2007-07-06 00:00:00.000,,,0,,,False,467.0,16.0,E
98911,3491,2006-03-25 10:37:09.437,HR,36,Defaulted,2007-11-09 00:00:00.000,,,0,,,False,593.0,20.0,HR
202,3509,2006-03-25 13:09:11.680,D,36,Defaulted,2007-06-29 00:00:00.000,,,0,,,False,460.0,15.0,D
46071,3532,2006-03-25 15:07:11.100,E,36,Chargedoff,2008-12-03 00:00:00.000,,,0,,,False,983.0,33.0,E
74129,3549,2006-03-25 18:21:48.593,A,36,Defaulted,2007-01-02 00:00:00.000,,,0,,,False,282.0,9.0,A
86067,3567,2006-03-25 21:09:59.027,HR,36,Defaulted,2007-10-03 00:00:00.000,,,0,,,False,556.0,19.0,HR
66199,3681,2006-03-26 18:12:46.707,C,36,Chargedoff,2008-04-03 00:00:00.000,,,0,,,False,738.0,25.0,C
2969,3703,2006-03-27 01:20:38.990,A,36,Defaulted,2008-02-02 00:00:00.000,,,0,,,False,676.0,23.0,A
25464,3752,2006-03-27 09:19:56.470,HR,36,Defaulted,2006-10-03 00:00:00.000,,,0,,,False,189.0,6.0,HR
39030,3783,2006-03-27 11:17:29.643,E,36,Defaulted,2007-01-06 00:00:00.000,,,0,,,False,284.0,9.0,E
74474,3822,2006-03-27 14:59:21.193,E,36,Defaulted,2008-03-03 00:00:00.000,,,0,,,False,706.0,24.0,E
94703,3829,2006-03-27 15:29:06.797,AA,36,Chargedoff,2009-08-05 00:00:00.000,,,0,,,False,1226.0,41.0,AA
84819,3903,2006-03-28 03:12:03.890,E,36,Chargedoff,2007-11-03 00:00:00.000,,,0,,,False,584.0,19.0,E
103979,3925,2006-03-28 08:10:01.567,E,36,Chargedoff,2008-01-11 00:00:00.000,,,0,,,False,653.0,22.0,E
73802,3933,2006-03-28 09:04:03.993,HR,36,Defaulted,2006-12-03 00:00:00.000,,,0,,,False,249.0,8.0,HR
51495,3935,2006-03-28 09:15:16.687,D,36,Chargedoff,2008-10-03 00:00:00.000,,,0,,,False,919.0,31.0,D
56527,3959,2006-03-28 10:49:45.273,HR,36,Defaulted,2007-12-03 00:00:00.000,,,0,,,False,614.0,20.0,HR
13911,3962,2006-03-28 11:12:45.643,B,36,Defaulted,2006-11-15 00:00:00.000,,,0,,,False,231.0,8.0,B
18257,4051,2006-03-28 18:57:46.967,HR,36,Defaulted,2006-10-05 00:00:00.000,,,0,,,False,190.0,6.0,HR
31976,4054,2006-03-28 19:19:15.997,C,36,Chargedoff,2007-07-30 00:00:00.000,,,0,,,False,488.0,16.0,C
30086,4075,2006-03-29 01:14:37.440,E,36,Defaulted,2007-03-04 00:00:00.000,,,0,,,False,339.0,11.0,E
26871,4079,2006-03-29 04:32:29.430,HR,36,Defaulted,2007-12-02 00:00:00.000,,,0,,,False,612.0,20.0,HR
68542,4128,2006-03-29 09:00:49.593,E,36,Defaulted,2007-06-07 00:00:00.000,,,0,,,False,434.0,14.0,E
38138,4134,2006-03-29 09:32:14.960,E,36,Defaulted,2007-01-12 00:00:00.000,,,0,,,False,288.0,10.0,E
20768,4196,2006-03-29 14:07:58.390,E,36,Defaulted,2006-11-10 00:00:00.000,,,0,,,False,225.0,8.0,E
29427,4211,2006-03-29 16:25:19.657,E,36,Defaulted,2006-12-04 00:00:00.000,,,0,,,False,249.0,8.0,E
82291,4217,2006-03-29 16:53:42.387,B,36,Defaulted,2008-08-06 00:00:00.000,,,0,,,False,860.0,29.0,B
72408,4305,2006-03-30 07:47:56.500,E,36,Defaulted,2007-01-09 00:00:00.000,,,0,,,False,284.0,9.0,E
40452,4371,2006-03-30 14:27:46.760,HR,36,Defaulted,2006-11-02 00:00:00.000,,,0,,,False,216.0,7.0,HR
87486,4376,2006-03-30 15:30:46.887,HR,36,Defaulted,2006-11-02 00:00:00.000,,,0,,,False,216.0,7.0,HR
38193,4380,2006-03-30 15:52:13.603,HR,36,Chargedoff,2008-03-04 00:00:00.000,,,0,,,False,704.0,23.0,HR
39760,4386,2006-03-30 16:03:07.110,E,36,Defaulted,2007-02-09 00:00:00.000,,,0,,,False,315.0,10.0,E
24267,4387,2006-03-30 16:04:46.390,E,36,Defaulted,2007-07-09 00:00:00.000,,,0,,,False,465.0,16.0,E
102832,4406,2006-03-30 18:26:01.033,HR,36,Defaulted,2006-12-06 00:00:00.000,,,0,,,False,250.0,8.0,HR
104983,4492,2006-03-31 11:52:50.730,D,36,Defaulted,2009-03-07 00:00:00.000,,,0,,,False,1071.0,36.0,D
108857,4536,2006-03-31 17:28:20.133,B,36,Defaulted,2008-03-05 00:00:00.000,,,0,,,False,704.0,23.0,B
1906,4542,2006-03-31 18:09:52.413,E,36,Defaulted,2006-10-09 00:00:00.000,,,0,,,False,191.0,6.0,E
107127,4557,2006-03-31 20:24:51.263,D,36,Defaulted,2007-05-06 00:00:00.000,,,0,,,False,400.0,13.0,D
60488,4603,2006-04-01 12:34:53.400,A,36,Chargedoff,2009-03-08 00:00:00.000,,,0,,,False,1071.0,36.0,A
85751,4625,2006-04-01 16:47:51.660,A,36,Defaulted,2009-06-07 00:00:00.000,,,0,,,False,1162.0,39.0,A
109857,4739,2006-04-03 06:27:46.813,HR,36,Chargedoff,2009-02-11 00:00:00.000,,,0,,,False,1044.0,35.0,HR
41158,4779,2006-04-03 10:21:26.893,C,36,Chargedoff,2009-07-15 00:00:00.000,,,0,,,False,1198.0,40.0,C
47985,4887,2006-04-04 07:53:40.873,C,36,Defaulted,2008-04-09 00:00:00.000,,,0,,,False,735.0,24.0,C
45583,4956,2006-04-04 13:55:30.810,B,36,Defaulted,2009-03-10 00:00:00.000,,,0,,,False,1070.0,36.0,B
42433,4973,2006-04-04 15:34:28.390,B,36,Defaulted,2008-05-06 00:00:00.000,,,0,,,False,762.0,25.0,B
4932,5026,2006-04-04 21:51:29.143,C,36,Chargedoff,2009-03-15 00:00:00.000,,,0,,,False,1075.0,36.0,C
69061,5073,2006-04-05 11:03:31.123,C,36,Chargedoff,2007-08-12 00:00:00.000,,,0,,,False,493.0,16.0,C
82055,5132,2006-04-05 17:20:37.180,B,36,Defaulted,2008-01-09 00:00:00.000,,,0,,,False,643.0,21.0,B
8664,5166,2006-04-06 00:30:51.877,A,36,Chargedoff,2008-06-10 00:00:00.000,,,0,,,False,795.0,26.0,A
39674,5203,2006-04-06 11:22:03.160,B,36,Defaulted,2008-03-11 00:00:00.000,,,0,,,False,704.0,23.0,B
61396,5214,2006-04-06 12:51:37.217,E,36,Defaulted,2007-02-16 00:00:00.000,,,0,,,False,315.0,10.0,E
88086,5359,2006-04-07 17:39:43.153,E,36,Defaulted,2007-02-16 00:00:00.000,,,0,,,False,314.0,10.0,E
100906,5390,2006-04-08 00:39:03.747,D,36,Defaulted,2006-11-12 00:00:00.000,,,0,,,False,217.0,7.0,D
91023,5395,2006-04-08 05:14:30.423,C,36,Defaulted,2007-11-09 00:00:00.000,,,0,,,False,579.0,19.0,C
16083,5447,2006-04-08 20:36:26.063,C,36,Defaulted,2006-10-19 00:00:00.000,,,0,,,False,193.0,6.0,C
60274,5508,2006-04-09 12:56:55.460,D,36,Defaulted,2007-12-12 00:00:00.000,,,0,,,False,611.0,20.0,D
44746,5599,2006-04-10 09:47:03.757,HR,36,Chargedoff,2009-02-10 00:00:00.000,,,0,,,False,1036.0,35.0,HR
71314,5640,2006-04-10 14:21:58.097,D,36,Defaulted,2007-07-16 00:00:00.000,,,0,,,False,461.0,15.0,D
60840,5654,2006-04-10 16:05:02.580,E,36,Defaulted,2007-09-18 00:00:00.000,,,0,,,False,525.0,18.0,E
88756,5673,2006-04-10 19:38:00.917,A,36,Chargedoff,2008-01-23 00:00:00.000,,,0,,,False,652.0,22.0,A
74678,5704,2006-04-11 05:55:19.900,B,36,Defaulted,2007-05-14 00:00:00.000,,,0,,,False,397.0,13.0,B
66598,5724,2006-04-11 07:37:55.197,E,36,Defaulted,2007-11-19 00:00:00.000,,,0,,,False,586.0,20.0,E
69996,5728,2006-04-11 08:05:06.050,B,36,Defaulted,2007-10-12 00:00:00.000,,,0,,,False,548.0,18.0,B
82241,5754,2006-04-11 11:20:32.150,AA,36,Chargedoff,2009-05-20 00:00:00.000,,,0,,,False,1134.0,38.0,AA
32015,5796,2006-04-11 17:29:21.660,HR,36,Defaulted,2007-02-23 00:00:00.000,,,0,,,False,317.0,11.0,HR
14031,5978,2006-04-13 12:23:59.177,E,36,Defaulted,2007-02-19 00:00:00.000,,,0,,,False,311.0,10.0,E
81052,5990,2006-04-13 14:27:12.773,C,36,Defaulted,2006-11-18 00:00:00.000,,,0,,,False,218.0,7.0,C
66400,5993,2006-04-13 14:59:31.810,E,36,Defaulted,2007-11-18 00:00:00.000,,,0,,,False,583.0,19.0,E
100452,6016,2006-04-13 18:56:04.283,D,36,Defaulted,2007-04-18 00:00:00.000,,,0,,,False,369.0,12.0,D
33261,6018,2006-04-13 19:11:05.663,E,36,Defaulted,2007-09-22 00:00:00.000,,,0,,,False,526.0,18.0,E
7001,6105,2006-04-14 14:08:55.973,HR,36,Defaulted,2006-10-24 00:00:00.000,,,0,,,False,192.0,6.0,HR
54203,6112,2006-04-14 15:45:02.337,C,36,Defaulted,2006-11-22 00:00:00.000,,,0,,,False,221.0,7.0,C
21004,6123,2006-04-14 18:10:35.120,C,36,Chargedoff,2009-01-19 00:00:00.000,,,0,,,False,1010.0,34.0,C
97465,6174,2006-04-15 13:37:21.803,HR,36,Chargedoff,2008-07-20 00:00:00.000,,,0,,,False,826.0,28.0,HR
72001,6179,2006-04-15 14:37:10.257,D,36,Defaulted,2007-03-19 00:00:00.000,,,0,,,False,337.0,11.0,D
5796,6229,2006-04-16 12:17:25.367,C,36,Chargedoff,2008-01-18 00:00:00.000,,,0,,,False,641.0,21.0,C
21030,6252,2006-04-16 16:53:16.190,E,36,Chargedoff,2008-11-21 00:00:00.000,,,0,,,False,949.0,32.0,E
23814,6257,2006-04-16 17:49:27.900,A,36,Chargedoff,2007-12-24 00:00:00.000,,,0,,,False,616.0,21.0,A
27659,6274,2006-04-16 20:32:23.413,B,36,Defaulted,2007-05-26 00:00:00.000,,,0,,,False,404.0,13.0,B
16192,6328,2006-04-17 11:35:35.950,D,36,Defaulted,2006-09-22 00:00:00.000,,,0,,,False,157.0,5.0,D
83247,6390,2006-04-17 19:12:52.650,D,36,Defaulted,2007-01-19 00:00:00.000,,,0,,,False,276.0,9.0,D
8781,6392,2006-04-17 19:36:41.490,E,36,Defaulted,2006-10-24 00:00:00.000,,,0,,,False,189.0,6.0,E
99724,6413,2006-04-18 00:10:39.403,D,36,Chargedoff,2008-06-26 00:00:00.000,,,0,,,False,799.0,27.0,D
101678,6570,2006-04-19 09:09:14.563,C,36,Defaulted,2009-09-02 00:00:00.000,,,0,,,False,1231.0,41.0,C
95981,6588,2006-04-19 10:18:48.963,C,36,Chargedoff,2006-11-23 00:00:00.000,,,0,,,True,217.0,7.0,C
30831,6596,2006-04-19 11:23:10.150,D,36,Defaulted,2007-05-29 00:00:00.000,,,0,,,False,404.0,13.0,D
50932,6597,2006-04-19 11:30:06.190,E,36,Defaulted,2006-11-23 00:00:00.000,,,0,,,True,217.0,7.0,E
3611,6629,2006-04-19 15:09:13.713,D,36,Chargedoff,2009-03-27 00:00:00.000,,,0,,,False,1072.0,36.0,D
15013,6666,2006-04-19 20:01:56.270,HR,36,Defaulted,2006-10-20 00:00:00.000,,,0,,,False,183.0,6.0,HR
37984,6715,2006-04-20 07:22:00.293,D,36,Chargedoff,2008-10-30 00:00:00.000,,,0,,,False,923.0,31.0,D
55198,6716,2006-04-20 07:28:00.710,HR,36,Defaulted,2007-03-26 00:00:00.000,,,0,,,True,339.0,11.0,HR
44282,6764,2006-04-20 13:36:18.907,D,36,Chargedoff,2006-12-24 00:00:00.000,,,0,,,True,247.0,8.0,D
59905,6797,2006-04-20 18:19:40.653,A,36,Defaulted,2007-03-02 00:00:00.000,,,0,,,False,315.0,10.0,A
9638,6859,2006-04-21 08:30:25.420,C,36,Defaulted,2007-06-03 00:00:00.000,,,0,,,True,407.0,14.0,C
8330,6866,2006-04-21 08:59:24.973,HR,36,Defaulted,2007-04-02 00:00:00.000,,,0,,,False,345.0,12.0,HR
47303,6871,2006-04-21 09:40:25.473,C,36,Defaulted,2007-02-25 00:00:00.000,,,0,,,False,309.0,10.0,C
81688,6874,2006-04-21 09:42:26.503,B,36,Defaulted,2007-10-30 00:00:00.000,,,0,,,False,556.0,19.0,B
40464,6890,2006-04-21 11:39:42.053,AA,36,Defaulted,2008-01-23 00:00:00.000,,,0,,,True,641.0,21.0,AA
61817,7002,2006-04-22 18:38:32.387,B,36,Defaulted,2007-02-24 00:00:00.000,,,0,,,True,307.0,10.0,B
4233,7055,2006-04-23 14:19:41.030,NC,36,Chargedoff,2007-12-25 00:00:00.000,,,0,,,False,610.0,20.0,NC
96891,7081,2006-04-23 19:50:05.990,C,36,Defaulted,2007-05-27 00:00:00.000,,,0,,,True,398.0,13.0,C
54051,7131,2006-04-24 11:59:57.900,NC,36,Defaulted,2008-06-02 00:00:00.000,,,0,,,False,769.0,26.0,NC
25102,7396,2006-04-24 21:35:29.020,C,36,Defaulted,2006-09-25 00:00:00.000,,,0,,,False,153.0,5.0,C
72937,7919,2006-04-25 12:10:14.917,A,36,Chargedoff,2008-11-29 00:00:00.000,,,0,,,True,948.0,32.0,A
65789,8082,2006-04-25 16:55:15.657,B,36,Defaulted,2006-12-08 00:00:00.000,,,0,,,False,226.0,8.0,B
82821,8290,2006-04-26 01:14:06.193,D,36,Chargedoff,2007-07-31 00:00:00.000,,,0,,,False,460.0,15.0,D
77370,8328,2006-04-26 05:06:00.657,D,36,Defaulted,2006-11-01 00:00:00.000,,,0,,,False,188.0,6.0,D
60291,8386,2006-04-26 07:30:39.670,B,36,Chargedoff,2008-08-02 00:00:00.000,,,0,,,True,828.0,28.0,B
27079,8651,2006-04-26 13:24:05.100,HR,36,Chargedoff,2009-09-05 00:00:00.000,,,0,,,False,1227.0,41.0,HR
20925,8671,2006-04-26 13:49:10.640,AA,36,Chargedoff,2007-12-08 00:00:00.000,,,0,,,True,590.0,20.0,AA
94039,8680,2006-04-26 14:04:46.160,HR,36,Defaulted,2007-07-01 00:00:00.000,,,0,,,False,430.0,14.0,HR
97761,8820,2006-04-26 18:53:48.847,A,36,Defaulted,2007-05-10 00:00:00.000,,,0,,,True,378.0,13.0,A
32987,8821,2006-04-26 18:54:21.843,B,36,Defaulted,2007-03-02 00:00:00.000,,,0,,,True,309.0,10.0,B
26906,8867,2006-04-26 19:58:09.640,E,36,Chargedoff,2009-05-29 00:00:00.000,,,0,,,False,1128.0,38.0,E
103778,8903,2006-04-26 21:55:43.183,HR,36,Defaulted,2006-11-06 00:00:00.000,,,0,,,False,193.0,6.0,HR
106164,8969,2006-04-27 06:36:11.333,C,36,Defaulted,2008-03-05 00:00:00.000,,,0,,,True,677.0,23.0,C
98998,8978,2006-04-27 07:09:26.807,D,36,Defaulted,2007-06-09 00:00:00.000,,,0,,,True,407.0,14.0,D
81765,9087,2006-04-27 10:59:37.333,D,36,Chargedoff,2008-02-01 00:00:00.000,,,0,,,True,644.0,21.0,D
81673,9088,2006-04-27 11:01:25.210,E,36,Defaulted,2006-12-04 00:00:00.000,,,0,,,False,220.0,7.0,E
47897,9116,2006-04-27 12:00:21.490,NC,36,Defaulted,2006-12-04 00:00:00.000,,,0,,,False,220.0,7.0,NC
